,tea_name,tea_origin,tea_star,tea_price,tea_availability,tea_link
77,"Sueyoshi Tea Atelier #002: ""Furusato no Hana"" Okumidori Fukamushi Kabusecha from Kagoshima 末吉銘茶 郷里の華 奥みどり",Sueyoshi Tea Atelier, 1 ,"From JPY ¥1,000",Available,https://yunomi.life//collections/green-tea/products/sueyoshi-tea-atelier-002-furusato-no-hana-okumidori-fukamushi-kabusecha-from-kagoshima
78,"Murata Tea Garden: Tsuyuhikari Fukamushicha From Kikugawa, Shizuoka",Murata Tea Garden, 1 ,From JPY ¥680,Available,https://yunomi.life//collections/green-tea/products/murata-tea-garden-tsuyuhikari-fukamushicha-from-kikugawa-shizuoka
79,Obubu GE02: Roasted Rice,Kyoto Obubu Tea Farms, 1 ,From JPY ¥680,Available,https://yunomi.life//collections/green-tea/products/obubu-17-genmai-roasted-brown-rice-for-tea
80,"Takeo Tea Farm: Spring Konacha Green Tea, Ichiban (JAS certified organic) 一番粉茶",Takeo Tea Farm, 4 ,From JPY ¥400,Available,https://yunomi.life//collections/green-tea/products/takeo-tea-farm-spring-konacha-green-tea-ichiban
81,Tarui Tea Farm: Yabukita - Single Cultivar Shizuoka Sencha (JAS Organic) 有機やぶきた,Tarui Tea Farm, 4 ,From JPY ¥700,"In stock, 7 units",https://yunomi.life//collections/green-tea/products/tarui-family-organic-sencha-yabukita
82,"Sueyoshi Tea Atelier #001: ""Furusato no Hana"" Saemidori Fukamushi Kabusecha from Kagoshima 末吉銘茶 郷里の華 さえみどり",Sueyoshi Tea Atelier, 4 ,From JPY ¥600,"In stock, 18 units",https://yunomi.life//collections/green-tea/products/sueyoshi-tea-atelier-001-furusato-no-hana-saemidori-fukamushi-kabusecha-from-kagoshima
83,"Morita Tea Garden #03: ""Hoju"" Aracha Green Tea from Sayama 宝珠",Morita Tea Garden, 5 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/fujiichi-morita-03-aracha-green-tea-hoju
84,"Furuichi Seicha: #01 Organic Premium Kagoshima Sencha, Midori no Daichi (Jun) みどりの大地（潤）",Furuichi Seicha, 2 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/furuichi-seicha-organic-premium-kagoshima-sencha-midori-no-daichi-jun
85,Yamane-en: Yuikamatsuka Village Fukamushi Sencha 煎茶 湯日鎌塚,Yamane-en, 2 ,"From JPY ¥1,450",Available,https://yunomi.life//collections/green-tea/products/yamane-en-yuikamatsuka-village-fukamushi-sencha-100g
86,"Ogura Tea Garden: Yabukita Sencha from Ashigara, Kanagawa",Ogura Tea Garden, 4 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/ogura-tea-garden-yabukita-sencha-from-ashigara-kanagawa
87,Obubu #14: Hojicha Amber Roast 琥珀のほうじ茶,Kyoto Obubu Tea Farms, 3 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/obubu-14-houjicha-amber-roast
88,Yoshino Tea Garden: Horai Kincha Single Cultivar Sayama Golden Sencha Green Tea　蓬莱錦茶,Yoshino Tea Garden, 5 ,From JPY ¥800,Available,https://yunomi.life//collections/green-tea/products/yoshino-tea-garden-horai-kincha-single-cultivar-sencha-sayama-saitama
89,"NaturaliTea: Genmaicha Brown Rice Green Tea, Grown Pesticide Free 無農薬茶：玄米茶",NaturaliTea, 3 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/naturalitea-06-genmaicha-brown-rice-green-tea
90,"Yunomi Matcha: Uji no Aji - Yasaka, Premium Ceremonial Grade (30g)",Yunomi Tea, 3 ,"From JPY ¥2,480",Available,https://yunomi.life//collections/green-tea/products/yunomi-matcha-uji-no-aji-yasaka-premium-ceremonial-grade-30g
91,"Yamane-en: First Flush Yutaka Midori Fukamushicha from the Village of Ei, Kagoshima　揖宿頴娃",Yamane-en, 0 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/yamane-en-first-flush-fukamushicha-from-the-village-of-ei-kagoshima
92,"Seiwa: Resealable stand bag (gold Japanese washi paper, 6 sizes)",Seiwa Packaging, 1 ,From JPY ¥700,Available,https://yunomi.life//collections/green-tea/products/seiwa-resealable-stand-bag-gold-japanese-washi-paper-6-sizes
93,"AOI Seicha: Competition Grade Gyokuro, Gokujyo 一期一会／極上玉露",AOI Seicha, 0 ,"From JPY ¥1,600","In stock, 4 units",https://yunomi.life//collections/green-tea/products/aoi-seicha-imperial-gyokuro-gokujyo
94,Yunomi Tea: Spring Sencha with Matcha Blend,Yunomi Tea, 2 ,From JPY ¥400,Available,https://yunomi.life//collections/green-tea/products/yunomi-factory-direct-spring-sencha-with-matcha-blend
95,Kaneroku Matsumoto Tea Garden: World Heritage Genmaicha 玄米茶,Kaneroku Matsumoto Tea Garden, 2 ,From JPY ¥700,Available,https://yunomi.life//collections/green-tea/products/kaneroku-matsumoto-tea-garden-genmaicha-green-tea-in-a-wooded-box
96,Kurihara Tea #15: Gyokuro Shiraore (Karigane Kukicha) Leaf Stem Tea 玉露白折,Kurihara Tea Farm, 0 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-15-gyokuro-shira-ore-kukicha-stem-tea
97,Shogyokuen: Ichibancha Genmaicha Made with Premium Spring Green Tea,Shogyokuen Tea Factory, 2 ,From JPY ¥400,Available,https://yunomi.life//collections/green-tea/products/shogyokuen-ichibancha-genmaicha
98,Oguri Tea Farms: Makinohara Sencha Sakura 小栗農園　牧之原の桜煎茶,Oguri Tea Farms, 5 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/oguri-tea-farm-makinohara-sencha-sakura
99,Obubu #20: Premium Culinary Grade Matcha (Stone mill ground)業務用・製菓用 高級宇治抹茶【プレミアム】,Kyoto Obubu Tea Farms, 0 ,"From JPY ¥3,299",Available,https://yunomi.life//collections/green-tea/products/obubu-20-premium-culinary-grade-matcha-stone-mill-ground
100,"Tarui Tea Farm: Sannen Bancha, Roasted Three-Year Aged Tea Stems 三年仕込み 棒番茶",Tarui Tea Farm, 1 ,"From JPY ¥1,200",Available,https://yunomi.life//collections/green-tea/products/tarui-tea-farm-sannen-bancha
101,Seikoen Tea Factory: Snow-Aged Yukimuro Sencha 長期氷温熟成 雪室緑茶,Seikoen, 6 ,From JPY ¥900,"In stock, 15 units",https://yunomi.life//collections/green-tea/products/seikoen-tea-factory-aged-yukimuro-sencha
102,"Nakai Tea Farm: Yabukita Kabusecha from Wazuka, Kyoto. Grown Without Pesticides",Nakai Tea Farm, 1 ,From JPY ¥700,Available,https://yunomi.life//collections/green-tea/products/nakai-tea-farm-kabusecha-from-wazuka-kyoto
103,Yoshino Tea Garden: Sai no Midori Single Cultivar Sayama Sencha Green Tea,Yoshino Tea Garden, 1 ,"JPY ¥2,000",Available,https://yunomi.life//collections/green-tea/products/sai-no-midori-single-cultivar-sencha-sayama-saitama
104,"Takeo Tea Farm: Organic Spring Sencha Green Tea, Kodawari #1 Imperial",Takeo Tea Farm, 4 ,From JPY ¥700,Available,https://yunomi.life//collections/green-tea/products/takeo-tea-farm-organic-spring-sencha-green-tea-kodawari-1-imperial
